Algorithm,Scheduling Time (s),TOPS Utilization,Memory Utilization,Storage Utilization,Load Std Dev,Tasks Scheduled
Greedy (TOPS Prio),0.028063833713531494,0.8620212540995699,0.7213984375,0.5610145,0.16622645252507784,589.2
Greedy (Best-Fit),0.02572896480560303,0.8594555669253694,0.7219921874999999,0.5576195,0.1645793483020484,872.2
Greedy (Node-Balance),0.030221736431121825,0.7810890955347721,0.8128320312499999,0.6261095,0.16975021122153683,1192.45
FCFS,0.023252224922180174,0.7569862069697358,0.8161250000000001,0.6043675000000001,0.1700787354457122,304.65
