Algorithm,Scheduling Time (s),TOPS Utilization,Memory Utilization,Storage Utilization,Load Std Dev
FCFS,0.00001168,0.526046760242105,0.5729166666666666,0.48933333333333334,0.04740257586305877
Greedy,0.00001311,0.6273053061346725,0.5989583333333334,0.44466666666666665,0.053128383671338375
Brute Force,4.72923827,0.7898914797218395,0.7708333333333334,0.5746666666666667,0.14449604955599799
